,engineTransmission_battery_value,engineTransmission_engineoilLevelDipstick_value,engineTransmission_engineOil,engineTransmission_engineOil_cc_value_0,engineTransmission_engine_value,engineTransmission_coolant_value,engineTransmission_engineMounting_value,engineTransmission_engineSound_value,engineTransmission_engineSound_cc_value_0,engineTransmission_exhaustSmoke_value,engineTransmission_engineBlowByBackCompression_value,engineTransmission_engineBlowByBackCompression_cc_value_0,engineTransmission_clutch_value,engineTransmission_gearShifting_value,fuel_type,odometer_reading,rating_engineTransmission,how_old
0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,4,1.0294537508932813,5,0.8191625461200832
1,1,1,0,5,0,0,1,0,4,0,1,1,1,1,4,0.03523882112878864,3,1.0396481233118575
2,1,1,0,0,1,0,0,0,0,0,1,3,0,1,0,0.36114081565711326,4,-0.30531389755796495
3,1,1,0,0,1,0,1,1,4,1,1,1,0,1,4,-0.6036274575151548,4,-0.6360422633456262
4,1,1,0,5,0,1,0,0,4,0,1,1,0,1,4,-0.044739752331574484,3,0.025414468229696306
5,1,1,1,5,0,1,0,0,3,1,1,3,1,0,0,0.33051800357282446,4,0.11360869910640596
6,1,1,0,0,1,0,0,0,4,1,1,1,0,0,0,0.9525973356482157,4,-0.3935081284346746
7,0,1,1,5,0,1,0,0,4,1,1,1,0,1,4,-0.7468831964485699,3,-1.473887456674368
8,1,1,0,6,0,0,0,0,0,0,1,1,0,0,4,1.63472475175481,5,1.01759956559268
9,1,1,0,0,1,1,1,0,4,1,1,1,1,1,0,0.3395850931843737,3,-0.08482832036619077
10,0,1,0,5,0,0,1,0,0,1,1,1,0,1,4,0.7694378485658601,5,0.003365910510518889
11,1,1,0,4,1,1,0,0,0,1,1,1,1,1,0,-0.6511013701039264,4,-0.08482832036619077
12,1,1,1,5,1,1,1,0,4,1,1,1,0,1,0,-0.47959651471566117,3,-0.5478480324689164
13,1,1,0,0,1,0,1,1,4,1,1,1,1,1,3,-1.1712828672759406,3,-0.17302255124290045
14,1,1,1,5,1,1,1,0,4,1,1,1,1,1,3,-0.8196123751487557,3,0.37819139173653493
15,1,1,0,0,1,1,1,0,4,1,1,1,1,1,3,-1.0808685869041719,3,-1.3856932257976582
16,1,1,0,6,0,1,1,0,4,1,1,1,0,1,3,1.025861130481158,4,1.9656875475173088
17,1,1,0,0,0,0,1,1,4,1,1,1,1,1,0,0.5122661040647032,2,-0.19507110896207785
18,1,1,1,5,1,1,0,1,4,1,1,1,0,1,3,-0.6852526486644077,3,0.642774084366664
19,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-1.4366449309309262,1,-1.848712937900384
20,1,1,0,5,0,0,0,0,4,1,0,0,0,0,3,-0.6275996449079535,4,0.11360869910640596
21,0,1,1,5,1,1,1,1,4,1,1,1,0,1,3,-1.1389706682121414,3,-0.6139937056264487
22,1,1,1,5,1,1,1,1,4,1,1,4,1,1,0,-1.314816606598389,3,-1.4959360143935454
23,1,1,1,5,1,0,1,1,4,1,1,1,1,1,3,-0.8037449683285447,3,0.06951158366805113
24,1,1,0,0,1,1,1,0,4,1,1,3,1,1,0,0.853885812896067,5,-0.5037509170305616
25,1,1,1,5,1,1,1,1,4,1,1,1,1,1,0,-0.5403502920421027,1,-0.8565278405374003
26,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-1.4526192609776887,1,-1.3195475526401261
27,1,1,0,5,0,0,0,0,0,0,1,1,1,1,0,0.2824667055606758,3,-0.34941101299631977
28,1,1,0,0,0,1,1,0,4,1,1,1,1,1,0,-0.8033172754223394,3,-0.5037509170305616
